Symbol,Date,Open,High,Low,Close,Volume
AEDAUD,03-Jun-2016,0.3769,0.3769,0.376,0.376,0
AEDCAD,03-Jun-2016,0.3567,0.3567,0.3556,0.3556,0
AEDCHF,03-Jun-2016,0.2696,0.2696,0.269,0.269,0
AEDDKK,03-Jun-2016,1.8154,1.8158,1.7848,1.7848,0
AEDEUR,03-Jun-2016,0.244,0.2441,0.2399,0.2399,0
AEDGBP,03-Jun-2016,0.1888,0.1888,0.1884,0.1884,0
AEDINR,03-Jun-2016,18.308,18.308,18.283,18.283,0
AEDJPY,03-Jun-2016,29.633,29.633,29.555,29.555,0
AEDNOK,03-Jun-2016,2.268,2.2685,2.2316,2.2316,0
AEDNZD,03-Jun-2016,0.3999,0.3999,0.3983,0.3983,0
AEDPKR,03-Jun-2016,28.45,28.46,28.45,28.46,0
AEDSAR,03-Jun-2016,1.0206,1.0206,1.0198,1.0203,0
AEDSEK,03-Jun-2016,2.2662,2.2662,2.221,2.221,0
AEDUSD,03-Jun-2016,0.2722,0.2722,0.2722,0.2722,0
AEDZAR,03-Jun-2016,4.2362,4.2496,4.0975,4.1047,0
ALLGBP,03-Jun-2016,0.0055,0.0055,0.0055,0.0055,0
ARSAUD,03-Jun-2016,0.0995,0.0995,0.0976,0.0976,0
ARSBRL,03-Jun-2016,0.2576,0.2576,0.2534,0.2535,0
ARSCAD,03-Jun-2016,0.0942,0.0942,0.093,0.093,0
ARSCHF,03-Jun-2016,0.0712,0.0713,0.0702,0.0702,0
ARSEUR,03-Jun-2016,0.0645,0.0645,0.0633,0.0633,0
ARSGBP,03-Jun-2016,0.0499,0.0499,0.0494,0.0495,0
ARSHKD,03-Jun-2016,0.5585,0.5603,0.5585,0.5588,0
ARSHUF,03-Jun-2016,20.152,20.162,19.756,19.756,0
ARSJPY,03-Jun-2016,7.825,7.837,7.665,7.665,0
ARSMXN,03-Jun-2016,1.3424,1.3456,1.335,1.3367,0
ARSSGD,03-Jun-2016,0.0989,0.099,0.0975,0.0975,0
ARSUSD,03-Jun-2016,0.0719,0.0722,0.0719,0.0719,0
ARSZAR,03-Jun-2016,1.119,1.1221,1.0829,1.0844,0
AUDAED,03-Jun-2016,2.65,2.69,2.65,2.69,0
AUDARS,03-Jun-2016,10.0457,10.2401,10.0457,10.2401,0
AUDBRL,03-Jun-2016,2.5872,2.5977,2.5872,2.5974,0
AUDCAD,03-Jun-2016,0.9468,0.9538,0.9461,0.9528,0
AUDCHF,03-Jun-2016,0.716,0.7195,0.7146,0.7188,0
AUDCNH,03-Jun-2016,4.7598,4.8185,4.7598,4.8164,0
AUDCNY,03-Jun-2016,4.7485,4.8286,4.7435,4.8286,0
AUDCZK,03-Jun-2016,17.512,17.591,17.232,17.434,0
AUDDKK,03-Jun-2016,4.8212,4.8421,4.8038,4.8198,0
AUDEUR,03-Jun-2016,0.648,0.6507,0.6458,0.6476,0
AUDFJD,03-Jun-2016,1.5143,1.5216,1.5143,1.5216,0
AUDGBP,03-Jun-2016,0.5016,0.5074,0.5014,0.5072,0
AUDHKD,03-Jun-2016,5.6173,5.723,5.6152,5.7194,0
AUDHUF,03-Jun-2016,202.52,203.46,201.51,201.99,0
AUDIDR,03-Jun-2016,9753.9,9902.3,9695,9896.1,0
AUDILS,03-Jun-2016,2.7894,2.8278,2.7894,2.8276,0
AUDINR,03-Jun-2016,48.598,49.312,48.533,49.301,0
AUDJPY,03-Jun-2016,78.712,79.002,78.111,78.45,0
AUDKRW,03-Jun-2016,856.11,858.9,855.47,856.33,0
AUDMXN,03-Jun-2016,13.4918,13.7035,13.4918,13.6874,0
AUDMYR,03-Jun-2016,2.9941,3.0072,2.9912,3.0032,0
AUDNOK,03-Jun-2016,6.0225,6.0486,5.9988,6.0026,0
AUDNZD,03-Jun-2016,1.0613,1.0613,1.0531,1.0581,0
AUDPHP,03-Jun-2016,33.536,33.846,33.534,33.846,0
AUDPKR,03-Jun-2016,75.511,75.645,75.511,75.645,0
AUDPLN,03-Jun-2016,2.8405,2.8559,2.8274,2.8407,0
AUDSEK,03-Jun-2016,6.0166,6.0393,5.9777,5.9911,0
AUDSGD,03-Jun-2016,0.9946,1,0.9942,0.9986,0
AUDTHB,03-Jun-2016,25.712,26.021,25.684,26.021,0
AUDTRY,03-Jun-2016,2.131,2.1411,2.1307,2.1369,0
AUDTWD,03-Jun-2016,23.003,23.003,22.999,22.999,0
AUDUSD,03-Jun-2016,0.7229,0.7368,0.7227,0.7365,0
AUDZAR,03-Jun-2016,11.2489,11.3048,11.0714,11.102,0
AWGUSD,03-Jun-2016,0.5571,0.5571,0.5571,0.5571,0
BDTGBP,03-Jun-2016,0.0086,0.0086,0.0086,0.0086,0
BDTJPY,03-Jun-2016,1.3506,1.3512,1.3506,1.3512,0
BGNCNY,03-Jun-2016,3.7472,3.808,3.7414,3.808,0
BGNDKK,03-Jun-2016,3.7895,3.7895,3.7886,3.7889,0
BGNPLN,03-Jun-2016,2.2412,2.245,2.2382,2.2434,0
BGNUSD,03-Jun-2016,0.568,0.5733,0.5679,0.5733,0
BHDEUR,03-Jun-2016,2.362,2.3623,2.3322,2.3322,0
BHDPKR,03-Jun-2016,277.17,277.26,277.17,277.26,0
BHDUSD,03-Jun-2016,2.6338,2.6343,2.6334,2.6342,0
BNDGBP,03-Jun-2016,0.4938,0.4943,0.4938,0.4943,0
BRLARS,03-Jun-2016,3.8794,3.9415,3.8768,3.9369,0
BRLAUD,03-Jun-2016,0.3858,0.3858,0.3842,0.3842,0
BRLCAD,03-Jun-2016,0.3651,0.3666,0.3648,0.3663,0
BRLCHF,03-Jun-2016,0.276,0.2772,0.2752,0.2762,0
BRLEUR,03-Jun-2016,0.2499,0.2506,0.2486,0.2491,0
BRLHKD,03-Jun-2016,2.1654,2.2008,2.1653,2.1986,0
BRLJPY,03-Jun-2016,30.334,30.41,30.077,30.166,0
BRLKRW,03-Jun-2016,330.573,331.926,329.114,329.314,0
BRLMXN,03-Jun-2016,5.2038,5.2732,5.2038,5.2656,0
BRLRUB,03-Jun-2016,18.652,18.712,18.538,18.538,0
BRLSEK,03-Jun-2016,2.3206,2.3227,2.3019,2.3039,0
BRLSGD,03-Jun-2016,0.3834,0.3846,0.3832,0.3839,0
BRLUSD,03-Jun-2016,0.2785,0.2828,0.2785,0.2828,0
BRLZAR,03-Jun-2016,4.3389,4.3531,4.266,4.2684,0
