Symbol,Date,Open,High,Low,Close,Volume
AEDAUD,23-Jun-2016,0.362,0.362,0.3566,0.3566,0
AEDCAD,23-Jun-2016,0.3487,0.3487,0.3468,0.3468,0
AEDCHF,23-Jun-2016,0.2611,0.2627,0.2608,0.2623,0
AEDDKK,23-Jun-2016,1.7861,1.7879,1.7753,1.7879,0
AEDEUR,23-Jun-2016,0.2401,0.2402,0.2385,0.2402,0
AEDGBP,23-Jun-2016,0.1839,0.1839,0.1814,0.1814,0
AEDINR,23-Jun-2016,18.354,18.354,18.312,18.312,0
AEDJPY,23-Jun-2016,28.505,29.022,28.502,29.022,0
AEDNOK,23-Jun-2016,2.2455,2.2456,2.2106,2.2353,0
AEDNZD,23-Jun-2016,0.3794,0.3794,0.3749,0.3749,0
AEDPKR,23-Jun-2016,28.478,28.505,28.478,28.505,0
AEDSAR,23-Jun-2016,1.0204,1.021,1.0201,1.0206,0
AEDSEK,23-Jun-2016,2.2385,2.2386,2.2094,2.2358,0
AEDUSD,23-Jun-2016,0.2722,0.2722,0.2722,0.2722,0
AEDZAR,23-Jun-2016,3.9657,3.972,3.8728,3.9412,0
ALLGBP,23-Jun-2016,0.0055,0.0055,0.0054,0.0054,0
ARSAUD,23-Jun-2016,0.0946,0.0946,0.0911,0.0921,0
ARSBRL,23-Jun-2016,0.2401,0.2401,0.2317,0.2318,0
ARSCAD,23-Jun-2016,0.0911,0.0911,0.0886,0.0891,0
ARSCHF,23-Jun-2016,0.0682,0.0682,0.0665,0.0669,0
ARSEUR,23-Jun-2016,0.0627,0.0627,0.0609,0.0613,0
ARSGBP,23-Jun-2016,0.048,0.0482,0.0463,0.0477,0
ARSHKD,23-Jun-2016,0.5513,0.5513,0.5384,0.5392,0
ARSHUF,23-Jun-2016,19.709,19.742,19.033,19.179,0
ARSJPY,23-Jun-2016,7.44,7.523,7.313,7.313,0
ARSMXN,23-Jun-2016,1.3079,1.308,1.2601,1.2747,0
ARSSGD,23-Jun-2016,0.095,0.0952,0.0928,0.0934,0
ARSUSD,23-Jun-2016,0.0711,0.0711,0.0694,0.0695,0
ARSZAR,23-Jun-2016,1.0365,1.0376,0.9959,1.0128,0
AUDAED,23-Jun-2016,2.76,2.8,2.76,2.78,0
AUDARS,23-Jun-2016,10.5688,10.9633,10.5688,10.8728,0
AUDBRL,23-Jun-2016,2.5374,2.5586,2.5115,2.5115,0
AUDCAD,23-Jun-2016,0.9628,0.9742,0.9625,0.9672,0
AUDCHF,23-Jun-2016,0.7216,0.7363,0.7207,0.7218,0
AUDCNH,23-Jun-2016,4.9235,4.9235,4.9235,4.9235,0
AUDCNY,23-Jun-2016,4.9288,5.0098,4.9219,4.9567,0
AUDCZK,23-Jun-2016,17.958,18.118,17.901,17.997,0
AUDDKK,23-Jun-2016,4.937,4.9843,4.9269,4.957,0
AUDEUR,23-Jun-2016,0.6638,0.6695,0.6625,0.6652,0
AUDFJD,23-Jun-2016,1.5393,1.561,1.5391,1.561,0
AUDGBP,23-Jun-2016,0.5078,0.5168,0.5074,0.5168,0
AUDHKD,23-Jun-2016,5.8309,5.9287,5.8243,5.8457,0
AUDHUF,23-Jun-2016,208.39,210.54,207.99,208.41,0
AUDIDR,23-Jun-2016,9795.8,10091.1,9787.7,9912,0
AUDILS,23-Jun-2016,2.8945,2.918,2.8869,2.8869,0
AUDINR,23-Jun-2016,50.626,51.339,50.587,50.587,0
AUDJPY,23-Jun-2016,78.691,81.544,77.646,78.844,0
AUDKRW,23-Jun-2016,864.4,869.43,864.03,864.15,0
AUDMXN,23-Jun-2016,13.8271,13.9333,13.7772,13.8743,0
AUDMYR,23-Jun-2016,3.023,3.0306,2.9814,2.9814,0
AUDNOK,23-Jun-2016,6.2028,6.2288,6.159,6.159,0
AUDNZD,23-Jun-2016,1.0487,1.0519,1.0432,1.0455,0
AUDPHP,23-Jun-2016,34.786,35.399,34.786,35.002,0
AUDPKR,23-Jun-2016,78.437,79.58,78.437,79.58,0
AUDPLN,23-Jun-2016,2.8985,2.9292,2.8872,2.8988,0
AUDSEK,23-Jun-2016,6.1858,6.2281,6.1628,6.1904,0
AUDSGD,23-Jun-2016,1.0049,1.0215,1.0049,1.0131,0
AUDTHB,23-Jun-2016,26.432,26.771,26.424,26.517,0
AUDTRY,23-Jun-2016,2.1714,2.187,2.1568,2.1568,0
AUDTWD,23-Jun-2016,23.4,23.702,23.4,23.702,0
AUDUSD,23-Jun-2016,0.7516,0.7643,0.7505,0.7537,0
AUDZAR,23-Jun-2016,10.9492,11.0074,10.8644,10.95,0
AWGUSD,23-Jun-2016,0.5571,0.5571,0.5569,0.5569,0
BDTGBP,23-Jun-2016,0.0085,0.0085,0.0083,0.0083,0
BDTJPY,23-Jun-2016,1.3165,1.3271,1.3165,1.3271,0
BGNCNY,23-Jun-2016,3.7981,3.831,3.7921,3.807,0
BGNDKK,23-Jun-2016,3.7884,3.791,3.788,3.7905,0
BGNPLN,23-Jun-2016,2.2337,2.2408,2.219,2.2299,0
BGNUSD,23-Jun-2016,0.5773,0.5813,0.5772,0.5796,0
BHDEUR,23-Jun-2016,2.3242,2.3245,2.3098,2.3227,0
BHDPKR,23-Jun-2016,277.36,277.63,277.36,277.63,0
BHDUSD,23-Jun-2016,2.6338,2.6338,2.633,2.6333,0
BNDGBP,23-Jun-2016,0.4972,0.4972,0.491,0.491,0
BRLARS,23-Jun-2016,4.1623,4.3092,4.1615,4.3055,0
BRLAUD,23-Jun-2016,0.3933,0.3973,0.3901,0.3973,0
BRLCAD,23-Jun-2016,0.3788,0.3843,0.3759,0.3843,0
BRLCHF,23-Jun-2016,0.2837,0.2885,0.2819,0.2879,0
BRLEUR,23-Jun-2016,0.261,0.2643,0.2596,0.2643,0
BRLHKD,23-Jun-2016,2.2939,2.3222,2.2939,2.3216,0
BRLJPY,23-Jun-2016,30.962,31.893,30.887,31.402,0
BRLKRW,23-Jun-2016,340.457,342.444,338.968,341.942,0
BRLMXN,23-Jun-2016,5.4433,5.514,5.3973,5.514,0
BRLRUB,23-Jun-2016,19.061,19.22,18.944,19.22,0
BRLSEK,23-Jun-2016,2.4325,2.4615,2.4166,2.4615,0
BRLSGD,23-Jun-2016,0.3954,0.4023,0.3949,0.4023,0
BRLUSD,23-Jun-2016,0.2956,0.2991,0.2956,0.2991,0
BRLZAR,23-Jun-2016,4.3106,4.3551,4.2636,4.3551,0
BWPCHF,23-Jun-2016,0.088,0.0892,0.088,0.0892,0
BWPEUR,23-Jun-2016,0.081,0.0812,0.081,0.0812,0
BWPGBP,23-Jun-2016,0.0619,0.062,0.0617,0.0617,0
BWPUSD,23-Jun-2016,0.0919,0.0924,0.0919,0.0924,0
BWPZAR,23-Jun-2016,1.3538,1.3613,1.3383,1.3534,0
CADAED,23-Jun-2016,2.867,2.8963,2.8524,2.857,0
CADARS,23-Jun-2016,10.9764,11.3,10.9754,11.2286,0
CADAUD,23-Jun-2016,1.0385,1.0388,1.026,1.0335,0
CADBRL,23-Jun-2016,2.6342,2.6554,2.5967,2.5967,0
CADCHF,23-Jun-2016,0.7493,0.7569,0.7463,0.7487,0
CADCNH,23-Jun-2016,5.152,5.152,5.152,5.152,0
CADCNY,23-Jun-2016,5.1174,5.1669,5.112,5.1248,0
CADDKK,23-Jun-2016,5.1258,5.1452,5.0988,5.1202,0
CADEUR,23-Jun-2016,0.6891,0.6913,0.6864,0.6874,0
CADGBP,23-Jun-2016,0.5274,0.5348,0.5227,0.5348,0
CADHKD,23-Jun-2016,6.0558,6.1162,6.0243,6.033,0
CADIDR,23-Jun-2016,10176.5,10387.4,10163.4,10237.1,0
CADILS,23-Jun-2016,3.006,3.0112,2.9806,2.9806,0
CADINR,23-Jun-2016,52.588,52.955,52.301,52.301,0
CADISK,23-Jun-2016,95.68,95.68,94.9,94.9,0
CADJPY,23-Jun-2016,81.729,83.756,80.061,81.449,0
CADKRW,23-Jun-2016,897.64,900.97,890.97,890.97,0
CADKWD,23-Jun-2016,0.2346,0.2364,0.234,0.234,0
CADMXN,23-Jun-2016,14.364,14.389,14.18,14.344,0
CADMYR,23-Jun-2016,3.1392,3.1427,3.0803,3.0803,0
CADNOK,23-Jun-2016,6.4421,6.461,6.3168,6.3912,0
CADNZD,23-Jun-2016,1.0892,1.0893,1.0776,1.0811,0
CADPKR,23-Jun-2016,81.55,81.972,81.55,81.972,0
CADPLN,23-Jun-2016,3.012,3.027,2.9677,3.0006,0
CADRUB,23-Jun-2016,50.563,50.61,49.707,49.707,0
CADSEK,23-Jun-2016,6.4244,6.4494,6.3322,6.3905,0
CADSGD,23-Jun-2016,1.0435,1.054,1.0428,1.0447,0
CADTHB,23-Jun-2016,27.455,27.646,27.383,27.383,0
CADTRY,23-Jun-2016,2.2552,2.2634,2.2248,2.2282,0
CADTWD,23-Jun-2016,24.288,24.403,24.288,24.403,0
CADUAH,23-Jun-2016,19.634,19.634,19.634,19.634,0
CADUSD,23-Jun-2016,0.7806,0.7878,0.7783,0.7788,0
CADZAR,23-Jun-2016,11.3695,11.4154,11.1843,11.346,0
