Symbol,Date,Open,High,Low,Close,Volume
AEDAUD,20-Jun-2016,0.3665,0.3665,0.365,0.365,0
AEDCAD,20-Jun-2016,0.3496,0.3496,0.3485,0.3485,0
AEDCHF,20-Jun-2016,0.2614,0.2619,0.2612,0.2619,0
AEDDKK,20-Jun-2016,1.7679,1.7894,1.7679,1.7877,0
AEDEUR,20-Jun-2016,0.2377,0.2406,0.2377,0.2404,0
AEDGBP,20-Jun-2016,0.1871,0.1871,0.1854,0.1854,0
AEDINR,20-Jun-2016,18.256,18.386,18.256,18.36,0
AEDJPY,20-Jun-2016,28.48,28.482,28.284,28.288,0
AEDNOK,20-Jun-2016,2.2316,2.2536,2.2316,2.2524,0
AEDNZD,20-Jun-2016,0.3842,0.3842,0.3826,0.383,0
AEDPKR,20-Jun-2016,28.506,28.506,28.478,28.478,0
AEDSAR,20-Jun-2016,1.0056,1.0207,1.0056,1.0205,0
AEDSEK,20-Jun-2016,2.226,2.2445,2.226,2.2415,0
AEDUSD,20-Jun-2016,0.2722,0.2722,0.2722,0.2722,0
AEDZAR,20-Jun-2016,4.0944,4.0944,4.0061,4.0361,0
ALLGBP,20-Jun-2016,0.0056,0.0056,0.0055,0.0055,0
ARSAUD,20-Jun-2016,0.0971,0.0971,0.0962,0.0965,0
ARSBRL,20-Jun-2016,0.2455,0.248,0.243,0.2443,0
ARSCAD,20-Jun-2016,0.0926,0.0927,0.0919,0.0921,0
ARSCHF,20-Jun-2016,0.0692,0.0692,0.0689,0.0692,0
ARSEUR,20-Jun-2016,0.0635,0.0636,0.0634,0.0636,0
ARSGBP,20-Jun-2016,0.0495,0.0496,0.0489,0.0491,0
ARSHKD,20-Jun-2016,0.559,0.5605,0.5584,0.5584,0
ARSHUF,20-Jun-2016,20.023,20.023,19.812,19.882,0
ARSJPY,20-Jun-2016,7.538,7.561,7.474,7.474,0
ARSMXN,20-Jun-2016,1.351,1.3533,1.3385,1.3411,0
ARSSGD,20-Jun-2016,0.097,0.0971,0.0966,0.0966,0
ARSUSD,20-Jun-2016,0.072,0.0723,0.072,0.072,0
ARSZAR,20-Jun-2016,1.0887,1.0887,1.0635,1.0673,0
AUDAED,20-Jun-2016,2.66,2.74,2.66,2.74,0
AUDARS,20-Jun-2016,10.2022,10.3857,10.1969,10.3601,0
AUDBRL,20-Jun-2016,2.54,2.5465,2.5206,2.5294,0
AUDCAD,20-Jun-2016,0.9551,0.9583,0.9536,0.9546,0
AUDCHF,20-Jun-2016,0.7123,0.7181,0.7123,0.7172,0
AUDCNH,20-Jun-2016,4.874,4.915,4.874,4.915,0
AUDCNY,20-Jun-2016,4.8459,4.9114,4.8164,4.8986,0
AUDCZK,20-Jun-2016,17.693,17.841,17.693,17.815,0
AUDDKK,20-Jun-2016,4.8643,4.9041,4.864,4.8971,0
AUDEUR,20-Jun-2016,0.6542,0.6594,0.6541,0.6585,0
AUDFJD,20-Jun-2016,1.5334,1.535,1.5311,1.5329,0
AUDGBP,20-Jun-2016,0.5097,0.5112,0.507,0.5083,0
AUDHKD,20-Jun-2016,5.7616,5.8051,5.7616,5.7881,0
AUDHUF,20-Jun-2016,205.12,206.45,205.06,205.9,0
AUDIDR,20-Jun-2016,9682.3,9907.3,9679.3,9750.4,0
AUDILS,20-Jun-2016,2.873,2.8819,2.8631,2.8756,0
AUDINR,20-Jun-2016,49.538,50.393,49.538,50.334,0
AUDJPY,20-Jun-2016,77.74,78.154,77.326,77.442,0
AUDKRW,20-Jun-2016,845.06,865.42,845.06,865.33,0
AUDMXN,20-Jun-2016,13.9302,13.9633,13.8676,13.893,0
AUDMYR,20-Jun-2016,3.0302,3.0368,3.0172,3.0284,0
AUDNOK,20-Jun-2016,6.1547,6.1843,6.1467,6.1709,0
AUDNZD,20-Jun-2016,1.0482,1.0499,1.0455,1.0484,0
AUDPHP,20-Jun-2016,34.184,34.433,34.184,34.426,0
AUDPKR,20-Jun-2016,78.301,78.301,78.022,78.022,0
AUDPLN,20-Jun-2016,2.8846,2.8986,2.8749,2.8843,0
AUDSEK,20-Jun-2016,6.1292,6.1619,6.1216,6.1407,0
AUDSGD,20-Jun-2016,0.9994,1.0047,0.9994,1.0017,0
AUDTHB,20-Jun-2016,25.476,26.265,25.465,26.226,0
AUDTRY,20-Jun-2016,2.1628,2.1703,2.159,2.1634,0
AUDTWD,20-Jun-2016,23.253,23.433,23.253,23.433,0
AUDUSD,20-Jun-2016,0.7427,0.7481,0.7427,0.7459,0
AUDZAR,20-Jun-2016,11.1676,11.1806,11.0243,11.054,0
AWGUSD,20-Jun-2016,0.5569,0.5569,0.5569,0.5569,0
BDTGBP,20-Jun-2016,0.0086,0.0086,0.0085,0.0085,0
BDTJPY,20-Jun-2016,1.3146,1.3146,1.2972,1.2972,0
BGNCNY,20-Jun-2016,3.7855,3.8129,3.7635,3.8009,0
BGNDKK,20-Jun-2016,3.7885,3.7885,3.7868,3.7869,0
BGNPLN,20-Jun-2016,2.2533,2.2533,2.2401,2.2401,0
BGNUSD,20-Jun-2016,0.578,0.5781,0.5761,0.5761,0
BHDEUR,20-Jun-2016,2.2847,2.3277,2.2847,2.327,0
BHDPKR,20-Jun-2016,277.63,277.63,277.41,277.41,0
