Symbol,Date,Open,High,Low,Close,Volume
AEDAUD,28-Jun-2016,0.3706,0.3706,0.3684,0.3684,0
AEDCAD,28-Jun-2016,0.3559,0.3559,0.3547,0.3547,0
AEDCHF,28-Jun-2016,0.2664,0.2669,0.2663,0.2669,0
AEDDKK,28-Jun-2016,1.8385,1.8385,1.8274,1.8274,0
AEDEUR,28-Jun-2016,0.247,0.247,0.2457,0.2457,0
AEDGBP,28-Jun-2016,0.2059,0.2059,0.2039,0.2039,0
AEDINR,28-Jun-2016,18.489,18.489,18.44,18.44,0
AEDJPY,28-Jun-2016,27.762,27.938,27.762,27.937,0
AEDNOK,28-Jun-2016,2.3322,2.3324,2.3044,2.3045,0
AEDNZD,28-Jun-2016,0.3887,0.3887,0.386,0.386,0
AEDPKR,28-Jun-2016,28.478,28.478,28.464,28.464,0
AEDSAR,28-Jun-2016,1.0206,1.0209,1.0202,1.0207,0
AEDSEK,28-Jun-2016,2.3288,2.3288,2.3123,2.3123,0
AEDUSD,28-Jun-2016,0.2722,0.2722,0.2722,0.2722,0
AEDZAR,28-Jun-2016,4.1928,4.1928,4.1093,4.1219,0
ALLGBP,28-Jun-2016,0.006,0.006,0.0059,0.0059,0
ARSAUD,28-Jun-2016,0.0889,0.091,0.088,0.0904,0
ARSBRL,28-Jun-2016,0.2218,0.2219,0.2173,0.2212,0
ARSCAD,28-Jun-2016,0.0855,0.0876,0.0848,0.0871,0
ARSCHF,28-Jun-2016,0.064,0.0659,0.0637,0.0656,0
ARSEUR,28-Jun-2016,0.0594,0.0607,0.0588,0.0604,0
ARSGBP,28-Jun-2016,0.0494,0.0503,0.0486,0.0501,0
ARSHKD,28-Jun-2016,0.5074,0.5204,0.5047,0.5191,0
ARSHUF,28-Jun-2016,18.903,19.224,18.649,19.149,0
ARSJPY,28-Jun-2016,6.663,6.891,6.65,6.864,0
ARSMXN,28-Jun-2016,1.2506,1.2635,1.231,1.2584,0
ARSSGD,28-Jun-2016,0.0891,0.0909,0.0882,0.0905,0
ARSUSD,28-Jun-2016,0.0654,0.0671,0.0651,0.0669,0
ARSZAR,28-Jun-2016,1.0078,1.0207,0.9861,1.0138,0
AUDAED,28-Jun-2016,2.7,2.71,2.7,2.71,0
AUDARS,28-Jun-2016,11.2352,11.3396,10.979,11.0537,0
AUDBRL,28-Jun-2016,2.4888,2.5103,2.429,2.4408,0
AUDCAD,28-Jun-2016,0.9611,0.9664,0.9605,0.9641,0
AUDCHF,28-Jun-2016,0.7199,0.7261,0.7197,0.726,0
AUDCNH,28-Jun-2016,4.955,4.955,4.955,4.955,0
AUDCNY,28-Jun-2016,4.8693,4.9216,4.8672,4.9123,0
AUDCZK,28-Jun-2016,18.118,18.188,17.862,18.132,0
AUDDKK,28-Jun-2016,4.9622,4.9801,4.9425,4.9719,0
AUDEUR,28-Jun-2016,0.6677,0.6695,0.6647,0.6683,0
AUDFJD,28-Jun-2016,1.5198,1.5247,1.5195,1.5247,0
AUDGBP,28-Jun-2016,0.5558,0.5569,0.5515,0.5545,0
AUDHKD,28-Jun-2016,5.7071,5.7529,5.7006,5.7448,0
AUDHUF,28-Jun-2016,212.34,212.74,210.71,211.83,0
AUDIDR,28-Jun-2016,9650.6,9803.8,9601.2,9604.9,0
AUDILS,28-Jun-2016,2.8636,2.881,2.8515,2.8705,0
AUDINR,28-Jun-2016,49.902,50.276,49.805,50.093,0
AUDJPY,28-Jun-2016,74.922,76.027,74.727,76.027,0
AUDKRW,28-Jun-2016,866.53,868.69,858.91,862.64,0
AUDMXN,28-Jun-2016,14.0625,14.091,13.8368,13.9201,0
AUDMYR,28-Jun-2016,3.0089,3.0246,2.9807,2.9997,0
AUDNOK,28-Jun-2016,6.2991,6.3097,6.2437,6.269,0
AUDNZD,28-Jun-2016,1.0481,1.0497,1.0447,1.046,0
AUDPHP,28-Jun-2016,34.607,34.736,34.607,34.736,0
AUDPKR,28-Jun-2016,76.7,77.241,76.7,77.241,0
