Symbol,Date,Open,High,Low,Close,Volume
AEDAUD,01-Jun-2016,0.3788,0.3788,0.3752,0.3753,0
AEDCAD,01-Jun-2016,0.3553,0.3565,0.3552,0.356,0
AEDCHF,01-Jun-2016,0.2701,0.2706,0.2689,0.2691,0
AEDDKK,01-Jun-2016,1.8161,1.8197,1.8086,1.8093,0
AEDEUR,01-Jun-2016,0.2442,0.2446,0.2431,0.2432,0
AEDGBP,01-Jun-2016,0.186,0.1889,0.1859,0.1888,0
AEDINR,01-Jun-2016,18.281,18.354,18.28,18.354,0
AEDJPY,01-Jun-2016,30.225,30.24,29.792,29.792,0
AEDNOK,01-Jun-2016,2.27,2.2797,2.2586,2.2594,0
AEDNZD,01-Jun-2016,0.4064,0.4064,0.3993,0.3993,0
AEDPKR,01-Jun-2016,28.451,28.505,28.451,28.478,0
AEDSAR,01-Jun-2016,1.0202,1.0207,1.0197,1.0203,0
AEDSEK,01-Jun-2016,2.2668,2.269,2.2565,2.2581,0
AEDUSD,01-Jun-2016,0.2722,0.2722,0.2722,0.2722,0
AEDZAR,01-Jun-2016,4.297,4.3182,4.2296,4.2431,0
ALLGBP,01-Jun-2016,0.0054,0.0055,0.0054,0.0055,0
ARSAUD,01-Jun-2016,0.0996,0.0996,0.0982,0.0987,0
ARSBRL,01-Jun-2016,0.2559,0.2593,0.255,0.2575,0
ARSCAD,01-Jun-2016,0.0934,0.094,0.0932,0.0936,0
ARSCHF,01-Jun-2016,0.0711,0.0711,0.0706,0.0708,0
ARSEUR,01-Jun-2016,0.0643,0.0644,0.0639,0.064,0
ARSGBP,01-Jun-2016,0.0489,0.0498,0.0487,0.0497,0
ARSHKD,01-Jun-2016,0.5566,0.5579,0.5534,0.5561,0
ARSHUF,01-Jun-2016,20.171,20.232,20.047,20.069,0
ARSJPY,01-Jun-2016,7.946,7.97,7.806,7.839,0
ARSMXN,01-Jun-2016,1.3239,1.3315,1.3111,1.3245,0
ARSSGD,01-Jun-2016,0.0989,0.0989,0.0981,0.0986,0
ARSUSD,01-Jun-2016,0.0716,0.0718,0.0712,0.0716,0
ARSZAR,01-Jun-2016,1.1325,1.1363,1.1137,1.1173,0
AUDAED,01-Jun-2016,2.64,2.66,2.64,2.66,0
AUDARS,01-Jun-2016,10.034,10.1811,10.034,10.1238,0
AUDBRL,01-Jun-2016,2.5644,2.6253,2.5644,2.6118,0
AUDCAD,01-Jun-2016,0.9384,0.9527,0.938,0.9478,0
AUDCHF,01-Jun-2016,0.7135,0.7256,0.7125,0.7167,0
AUDCNH,01-Jun-2016,4.7387,4.8054,4.7376,4.7744,0
AUDCNY,01-Jun-2016,4.7279,4.7931,4.7092,4.7608,0
AUDCZK,01-Jun-2016,17.436,17.724,17.363,17.51,0
AUDDKK,01-Jun-2016,4.8001,4.8792,4.7977,4.8186,0
AUDEUR,01-Jun-2016,0.6453,0.6558,0.645,0.6478,0
