Symbol,Date,Open,High,Low,Close,Volume
AEDAUD,30-Jun-2016,0.3656,0.3661,0.3656,0.3657,0
AEDCAD,30-Jun-2016,0.3523,0.3531,0.3522,0.3523,0
AEDCHF,30-Jun-2016,0.2666,0.2667,0.2657,0.2657,0
AEDDKK,30-Jun-2016,1.8194,1.8301,1.8186,1.822,0
AEDEUR,30-Jun-2016,0.2446,0.246,0.2445,0.245,0
AEDGBP,30-Jun-2016,0.2024,0.2047,0.2024,0.2047,0
AEDINR,30-Jun-2016,18.352,18.384,18.352,18.375,0
AEDJPY,30-Jun-2016,28.008,28.123,27.975,28.123,0
AEDNOK,30-Jun-2016,2.282,2.2867,2.2755,2.2755,0
AEDNZD,30-Jun-2016,0.3828,0.3834,0.3817,0.3817,0
AEDPKR,30-Jun-2016,28.464,28.492,28.464,28.492,0
AEDSAR,30-Jun-2016,1.0206,1.0208,1.0204,1.0206,0
AEDSEK,30-Jun-2016,2.3016,2.3135,2.3003,2.3003,0
AEDUSD,30-Jun-2016,0.2722,0.2722,0.2722,0.2722,0
AEDZAR,30-Jun-2016,4.0239,4.0745,3.9744,4.0123,0
ALLGBP,30-Jun-2016,0.0059,0.006,0.0059,0.006,0
ARSAUD,30-Jun-2016,0.0896,0.0902,0.089,0.089,0
ARSBRL,30-Jun-2016,0.2166,0.217,0.2124,0.2159,0
ARSCAD,30-Jun-2016,0.0865,0.087,0.0858,0.0859,0
ARSCHF,30-Jun-2016,0.0655,0.0656,0.0647,0.0647,0
ARSEUR,30-Jun-2016,0.0601,0.0605,0.0597,0.0597,0
ARSGBP,30-Jun-2016,0.0497,0.0505,0.0495,0.0497,0
ARSHKD,30-Jun-2016,0.5185,0.5196,0.5141,0.5141,0
ARSHUF,30-Jun-2016,19.039,19.104,18.894,18.929,0
ARSJPY,30-Jun-2016,6.872,6.902,6.838,6.838,0
ARSMXN,30-Jun-2016,1.2365,1.243,1.2122,1.2138,0
ARSSGD,30-Jun-2016,0.09,0.0903,0.0893,0.0893,0
ARSUSD,30-Jun-2016,0.0668,0.067,0.0663,0.0663,0
ARSZAR,30-Jun-2016,0.9875,0.9989,0.9767,0.9767,0
AUDAED,30-Jun-2016,2.73,2.74,2.72,2.73,0
AUDARS,30-Jun-2016,11.1568,11.2083,11.0952,11.1308,0
AUDBRL,30-Jun-2016,2.4109,2.4166,2.3716,2.3898,0
AUDCAD,30-Jun-2016,0.9658,0.9691,0.958,0.9649,0
AUDCHF,30-Jun-2016,0.7311,0.7311,0.7232,0.7271,0
AUDCNH,30-Jun-2016,4.9681,4.9699,4.9375,4.9678,0
AUDCNY,30-Jun-2016,4.945,4.95,4.9184,4.9238,0
AUDCZK,30-Jun-2016,18.19,18.23,17.861,18.148,0
