Symbol,Date,Open,High,Low,Close,Volume
AEDAUD,08-Jun-2016,0.3653,0.3653,0.3637,0.3637,0
AEDCAD,08-Jun-2016,0.3471,0.3471,0.3454,0.3454,0
AEDCHF,08-Jun-2016,0.2628,0.2628,0.2611,0.2611,0
AEDDKK,08-Jun-2016,1.7817,1.7817,1.7752,1.7752,0
AEDEUR,08-Jun-2016,0.2396,0.2396,0.2387,0.2387,0
AEDGBP,08-Jun-2016,0.1872,0.1875,0.1871,0.1875,0
AEDINR,08-Jun-2016,18.173,18.173,18.094,18.094,0
AEDJPY,08-Jun-2016,29.202,29.202,29.106,29.106,0
AEDNOK,08-Jun-2016,2.2089,2.209,2.2025,2.2039,0
AEDNZD,08-Jun-2016,0.3904,0.3904,0.3838,0.384,0
AEDPKR,08-Jun-2016,28.464,28.464,28.424,28.424,0
AEDSAR,08-Jun-2016,1.0204,1.0205,1.0203,1.0204,0
AEDSEK,08-Jun-2016,2.2118,2.2118,2.2063,2.2067,0
AEDUSD,08-Jun-2016,0.2722,0.2722,0.2722,0.2722,0
AEDZAR,08-Jun-2016,4.0527,4.0765,3.9879,4.0124,0
ALLGBP,08-Jun-2016,0.0055,0.0055,0.0055,0.0055,0
ARSAUD,08-Jun-2016,0.0971,0.0972,0.096,0.096,0
ARSBRL,08-Jun-2016,0.2487,0.2488,0.2418,0.2418,0
ARSCAD,08-Jun-2016,0.0922,0.0922,0.0913,0.0913,0
ARSCHF,08-Jun-2016,0.0698,0.0698,0.069,0.069,0
ARSEUR,08-Jun-2016,0.0637,0.0637,0.0631,0.0631,0
ARSGBP,08-Jun-2016,0.0497,0.05,0.0494,0.0496,0
ARSHKD,08-Jun-2016,0.5615,0.5631,0.5584,0.5584,0
ARSHUF,08-Jun-2016,19.762,19.767,19.589,19.591,0
ARSJPY,08-Jun-2016,7.758,7.758,7.688,7.69,0
ARSMXN,08-Jun-2016,1.3299,1.3306,1.3013,1.3031,0
ARSSGD,08-Jun-2016,0.0978,0.0978,0.0968,0.0968,0
ARSUSD,08-Jun-2016,0.0723,0.0726,0.072,0.072,0
ARSZAR,08-Jun-2016,1.0789,1.0819,1.0557,1.0616,0
AUDAED,08-Jun-2016,2.74,2.75,2.74,2.75,0
AUDARS,08-Jun-2016,10.294,10.4074,10.2828,10.4073,0
AUDBRL,08-Jun-2016,2.5598,2.5615,2.5112,2.5144,0
AUDCAD,08-Jun-2016,0.9497,0.9515,0.945,0.9509,0
AUDCHF,08-Jun-2016,0.7189,0.7195,0.7156,0.7185,0
AUDCNH,08-Jun-2016,4.8929,4.9233,4.8849,4.9211,0
AUDCNY,08-Jun-2016,4.8874,4.9113,4.8583,4.9113,0
AUDCZK,08-Jun-2016,17.704,17.775,17.438,17.756,0
AUDDKK,08-Jun-2016,4.8733,4.8921,4.8594,4.8869,0
AUDEUR,08-Jun-2016,0.6554,0.6577,0.6537,0.6571,0
AUDFJD,08-Jun-2016,1.5366,1.5411,1.5366,1.5407,0
AUDGBP,08-Jun-2016,0.5119,0.5165,0.5111,0.5162,0
AUDHKD,08-Jun-2016,5.7788,5.8224,5.7692,5.8176,0
AUDHUF,08-Jun-2016,203.3,204.14,202.85,203.99,0
AUDIDR,08-Jun-2016,9872.6,9941.1,9712.2,9940.5,0
AUDILS,08-Jun-2016,2.8515,2.87,2.848,2.8699,0
AUDINR,08-Jun-2016,49.676,49.841,49.547,49.805,0
AUDJPY,08-Jun-2016,79.831,80.261,79.364,80.075,0
AUDKRW,08-Jun-2016,860.69,863.68,859.43,863.06,0
AUDMXN,08-Jun-2016,13.6917,13.6933,13.5128,13.5769,0
AUDMYR,08-Jun-2016,3.0207,3.0268,3.0017,3.0142,0
AUDNOK,08-Jun-2016,6.0464,6.0777,6.0265,6.0626,0
AUDNZD,08-Jun-2016,1.0711,1.0714,1.0506,1.0512,0
AUDPHP,08-Jun-2016,34.211,34.232,34.163,34.232,0
AUDPKR,08-Jun-2016,77.964,77.981,77.964,77.977,0
AUDPLN,08-Jun-2016,2.8522,2.8542,2.827,2.8387,0
AUDSEK,08-Jun-2016,6.0515,6.0798,6.0337,6.0725,0
AUDSGD,08-Jun-2016,1.0059,1.0091,1.005,1.009,0
AUDTHB,08-Jun-2016,26.207,26.294,26.156,26.292,0
AUDTRY,08-Jun-2016,2.1558,2.1694,2.1504,2.1688,0
AUDTWD,08-Jun-2016,23.288,23.32,23.288,23.32,0
AUDUSD,08-Jun-2016,0.7448,0.7504,0.7429,0.7496,0
AUDZAR,08-Jun-2016,11.1075,11.1445,10.9491,11.0563,0
AWGUSD,08-Jun-2016,0.5571,0.5571,0.5569,0.5569,0
BDTGBP,08-Jun-2016,0.0086,0.0086,0.0086,0.0086,0
BDTJPY,08-Jun-2016,1.3434,1.3434,1.3353,1.3353,0
BGNCNY,08-Jun-2016,3.8079,3.8225,3.7885,3.8202,0
BGNDKK,08-Jun-2016,3.7863,3.7883,3.7863,3.7882,0
BGNPLN,08-Jun-2016,2.2251,2.2259,2.2064,2.2085,0
BGNUSD,08-Jun-2016,0.5783,0.5807,0.5783,0.5807,0
BHDEUR,08-Jun-2016,2.3194,2.3194,2.311,2.311,0
BHDPKR,08-Jun-2016,277.3,277.3,276.87,276.87,0
BHDUSD,08-Jun-2016,2.634,2.6351,2.6338,2.6344,0
BNDGBP,08-Jun-2016,0.4989,0.5001,0.4989,0.5001,0
BRLARS,08-Jun-2016,4.018,4.1327,4.0166,4.1324,0
BRLAUD,08-Jun-2016,0.3899,0.3974,0.3896,0.3969,0
BRLCAD,08-Jun-2016,0.3705,0.3773,0.3688,0.3772,0
BRLCHF,08-Jun-2016,0.2804,0.285,0.2791,0.2849,0
BRLEUR,08-Jun-2016,0.2558,0.2608,0.2554,0.2607,0
BRLHKD,08-Jun-2016,2.2554,2.3065,2.2544,2.3065,0
BRLJPY,08-Jun-2016,31.16,31.784,31.054,31.774,0
BRLKRW,08-Jun-2016,336.123,343.846,334.794,342.616,0
BRLMXN,08-Jun-2016,5.342,5.3861,5.3169,5.3855,0
BRLRUB,08-Jun-2016,18.784,18.968,18.662,18.968,0
BRLSEK,08-Jun-2016,2.361,2.4102,2.3572,2.4099,0
BRLSGD,08-Jun-2016,0.3927,0.4,0.3925,0.3999,0
BRLUSD,08-Jun-2016,0.2903,0.297,0.2903,0.297,0
BRLZAR,08-Jun-2016,4.3307,4.3864,4.3112,4.3862,0
BWPCHF,08-Jun-2016,0.0879,0.0879,0.0875,0.0875,0
BWPEUR,08-Jun-2016,0.08,0.08,0.08,0.08,0
BWPGBP,08-Jun-2016,0.0623,0.0625,0.0623,0.0625,0
BWPUSD,08-Jun-2016,0.0909,0.091,0.0909,0.091,0
BWPZAR,08-Jun-2016,1.3734,1.3805,1.3537,1.3628,0
CADAED,08-Jun-2016,2.8799,2.9018,2.8799,2.8949,0
CADARS,08-Jun-2016,10.8362,10.9486,10.8362,10.9486,0
CADAUD,08-Jun-2016,1.0526,1.0577,1.051,1.0517,0
CADBRL,08-Jun-2016,2.6939,2.7061,2.645,2.6459,0
CADCHF,08-Jun-2016,0.757,0.7592,0.7535,0.7557,0
CADCNH,08-Jun-2016,5.123,5.166,5.123,5.166,0
CADCNY,08-Jun-2016,5.1414,5.1747,5.1188,5.1655,0
CADDKK,08-Jun-2016,5.1334,5.1607,5.1244,5.1395,0
CADEUR,08-Jun-2016,0.6902,0.6938,0.6895,0.6917,0
CADGBP,08-Jun-2016,0.5391,0.5431,0.5391,0.543,0
CADHKD,08-Jun-2016,6.0912,6.1342,6.091,6.1162,0
CADIDR,08-Jun-2016,10379.3,10455.4,10244.6,10455.3,0
CADILS,08-Jun-2016,3.0017,3.0187,3.0017,3.0184,0
CADINR,08-Jun-2016,52.309,52.529,52.229,52.385,0
CADISK,08-Jun-2016,95.6,96.15,95.6,96.15,0
CADJPY,08-Jun-2016,84.029,84.566,83.744,84.167,0
CADKRW,08-Jun-2016,906.05,909.56,906.05,907.89,0
CADKWD,08-Jun-2016,0.2359,0.2375,0.2359,0.2371,0
CADMXN,08-Jun-2016,14.42,14.443,14.231,14.279,0
CADMYR,08-Jun-2016,3.1787,3.1915,3.1591,3.1704,0
CADNOK,08-Jun-2016,6.3657,6.3945,6.3604,6.376,0
CADNZD,08-Jun-2016,1.1268,1.1276,1.1054,1.1055,0
CADPKR,08-Jun-2016,81.91,82.085,81.91,82.085,0
CADPLN,08-Jun-2016,3.005,3.0084,2.9775,2.9862,0
CADRUB,08-Jun-2016,50.647,50.809,50.115,50.243,0
CADSEK,08-Jun-2016,6.3719,6.4039,6.3697,6.3874,0
CADSGD,08-Jun-2016,1.06,1.066,1.0581,1.0611,0
CADTHB,08-Jun-2016,27.593,27.721,27.593,27.652,0
CADTRY,08-Jun-2016,2.2701,2.2796,2.2701,2.2788,0
CADTWD,08-Jun-2016,24.475,24.629,24.475,24.629,0
CADUAH,08-Jun-2016,19.634,19.634,19.634,19.634,0
CADUSD,08-Jun-2016,0.7841,0.7896,0.7841,0.7883,0
CADZAR,08-Jun-2016,11.6976,11.7723,11.5449,11.6184,0
CDFUSD,08-Jun-2016,0.0011,0.0011,0.0011,0.0011,0
CHFAED,08-Jun-2016,3.8038,3.8285,3.8038,3.8275,0
CHFARS,08-Jun-2016,14.3177,14.49,14.3167,14.4899,0
CHFAUD,08-Jun-2016,1.391,1.3968,1.389,1.3918,0
CHFBGN,08-Jun-2016,1.7914,1.7914,1.7914,1.7914,0
CHFBRL,08-Jun-2016,3.559,3.5691,3.5019,3.5023,0
CHFBWP,08-Jun-2016,11.081,11.134,11.081,11.134,0
CHFCAD,08-Jun-2016,1.321,1.3264,1.3171,1.3227,0
CHFCNH,08-Jun-2016,6.764,6.85,6.764,6.85,0
CHFCNY,08-Jun-2016,6.7941,6.8368,6.7595,6.8355,0
CHFCZK,08-Jun-2016,24.634,24.719,24.592,24.71,0
CHFDKK,08-Jun-2016,6.7812,6.8042,6.7492,6.802,0
CHFEUR,08-Jun-2016,0.9119,0.9151,0.9101,0.9147,0
CHFGBP,08-Jun-2016,0.7123,0.7188,0.7117,0.7184,0
CHFHKD,08-Jun-2016,8.0454,8.0997,8.0384,8.0961,0
CHFHUF,08-Jun-2016,282.905,284.13,282.445,283.942,0
CHFIDR,08-Jun-2016,13715.5,13836.6,13520.2,13834.5,0
CHFILS,08-Jun-2016,3.9666,3.9939,3.9663,3.9939,0
CHFINR,08-Jun-2016,69.103,69.328,68.986,69.32,0
CHFISK,08-Jun-2016,126.65,127.9,126.59,127.9,0
CHFJPY,08-Jun-2016,111.042,111.614,110.564,111.386,0
CHFKRW,08-Jun-2016,1196.85,1202.21,1195.67,1201.31,0
CHFLVL,08-Jun-2016,0.5671,0.5671,0.5671,0.5671,0
CHFMXN,08-Jun-2016,19.048,19.064,18.825,18.898,0
CHFMYR,08-Jun-2016,4.2001,4.213,4.1824,4.1953,0
CHFNOK,08-Jun-2016,8.4105,8.4638,8.3862,8.4395,0
CHFNZD,08-Jun-2016,1.4884,1.4894,1.4657,1.4657,0
CHFPKR,08-Jun-2016,108.402,109.165,108.193,108.996,0
CHFPLN,08-Jun-2016,3.9693,3.9695,3.9435,3.9498,0
CHFRON,08-Jun-2016,4.1003,4.1165,4.0978,4.1144,0
CHFRUB,08-Jun-2016,66.942,67.116,66.182,66.486,0
CHFSEK,08-Jun-2016,8.4185,8.4616,8.3971,8.4533,0
CHFSGD,08-Jun-2016,1.4004,1.4058,1.4004,1.4046,0
CHFSZL,08-Jun-2016,15.173,15.249,15.173,15.249,0
CHFTHB,08-Jun-2016,36.458,36.615,36.406,36.591,0
CHFTRY,08-Jun-2016,3.0006,3.0182,2.9951,3.0174,0
CHFTWD,08-Jun-2016,32.344,32.498,32.344,32.498,0
CHFUSD,08-Jun-2016,1.0359,1.0435,1.0353,1.0431,0
CHFUZS,08-Jun-2016,3045.7,3059,3041.1,3058.7,0
CHFZAR,08-Jun-2016,15.4553,15.5505,15.2689,15.3774,0
CLPEUR,08-Jun-2016,0.0013,0.0013,0.0013,0.0013,0
CLPGBP,08-Jun-2016,0.001,0.001,0.001,0.001,0
CLPUSD,08-Jun-2016,0.0015,0.0015,0.0015,0.0015,0
CNHHKD,08-Jun-2016,1.1808,1.1817,1.1799,1.1815,0
CNHIDR,08-Jun-2016,2038,2038,2019,2019,0
CNHINR,08-Jun-2016,10.185,10.185,10.127,10.127,0
CNHJPY,08-Jun-2016,16.3108,16.3108,16.2332,16.2687,0
CNHKRW,08-Jun-2016,177.3,177.3,175.4,175.4,0
CNHPHP,08-Jun-2016,7.03,7.03,6.981,6.981,0
CNHTHB,08-Jun-2016,5.374,5.374,5.358,5.358,0
CNHTWD,08-Jun-2016,4.921,4.921,4.895,4.895,0
CNYAUD,08-Jun-2016,0.2038,0.204,0.2033,0.2033,0
CNYBGN,08-Jun-2016,0.2616,0.2616,0.2607,0.2611,0
CNYCAD,08-Jun-2016,0.1938,0.1938,0.1931,0.1931,0
CNYCHF,08-Jun-2016,0.1467,0.1467,0.1459,0.146,0
CNYDKK,08-Jun-2016,0.9947,0.9947,0.9915,0.993,0
CNYEUR,08-Jun-2016,0.1338,0.1338,0.1333,0.1335,0
CNYGBP,08-Jun-2016,0.1045,0.1048,0.1044,0.1048,0
CNYHKD,08-Jun-2016,1.1823,1.1845,1.1805,1.1832,0
CNYJPY,08-Jun-2016,16.299,16.299,16.216,16.275,0
CNYKRW,08-Jun-2016,175.77,176.03,175.12,175.45,0
CNYMYR,08-Jun-2016,0.5718,0.5718,0.5718,0.5718,0
CNYNZD,08-Jun-2016,0.218,0.218,0.2146,0.2146,0
CNYPLN,08-Jun-2016,0.5834,0.5839,0.5767,0.5776,0
CNYUSD,08-Jun-2016,0.1523,0.1525,0.1521,0.1524,0
CNYZAR,08-Jun-2016,2.2669,2.2787,2.2298,2.2464,0
COPDKK,08-Jun-2016,0.0021,0.0022,0.0021,0.0022,0
COPPLN,08-Jun-2016,0.0013,0.0013,0.0013,0.0013,0
CRCGBP,08-Jun-2016,0.0013,0.0013,0.0013,0.0013,0
CYPZAR,08-Jun-2016,28.94,29.089,28.544,28.729,0
CZKCHF,08-Jun-2016,0.0406,0.0406,0.0404,0.0405,0
