Symbol,Date,Open,High,Low,Close,Volume
AEDAUD,09-Jun-2016,0.3637,0.3664,0.3637,0.3662,0
AEDCAD,09-Jun-2016,0.3454,0.3464,0.3454,0.3463,0
AEDCHF,09-Jun-2016,0.2611,0.2626,0.2611,0.2626,0
AEDDKK,09-Jun-2016,1.7751,1.7889,1.7739,1.7887,0
AEDEUR,09-Jun-2016,0.2387,0.2406,0.2386,0.2406,0
AEDGBP,09-Jun-2016,0.1875,0.1883,0.1875,0.1883,0
AEDINR,09-Jun-2016,18.094,18.168,18.094,18.168,0
AEDJPY,09-Jun-2016,29.106,29.137,29.066,29.114,0
AEDNOK,09-Jun-2016,2.2037,2.2202,2.2026,2.22,0
AEDNZD,09-Jun-2016,0.384,0.384,0.3832,0.3832,0
AEDPKR,09-Jun-2016,28.424,28.424,28.37,28.37,0
AEDSAR,09-Jun-2016,1.0204,1.0207,1.0204,1.0206,0
AEDSEK,09-Jun-2016,2.2066,2.2276,2.2051,2.2272,0
AEDUSD,09-Jun-2016,0.2722,0.2722,0.2722,0.2722,0
AEDZAR,09-Jun-2016,4.0117,4.0527,4.0092,4.0328,0
ALLGBP,09-Jun-2016,0.0055,0.0056,0.0055,0.0056,0
ARSAUD,09-Jun-2016,0.096,0.0975,0.096,0.0975,0
ARSBRL,09-Jun-2016,0.2418,0.2461,0.2415,0.2459,0
ARSCAD,09-Jun-2016,0.0913,0.0921,0.0912,0.0921,0
ARSCHF,09-Jun-2016,0.069,0.0698,0.069,0.0698,0
ARSEUR,09-Jun-2016,0.0631,0.0639,0.0631,0.0639,0
ARSGBP,09-Jun-2016,0.0496,0.0501,0.0496,0.05,0
ARSHKD,09-Jun-2016,0.5584,0.5616,0.5584,0.5615,0
ARSHUF,09-Jun-2016,19.595,19.897,19.579,19.895,0
ARSJPY,09-Jun-2016,7.69,7.751,7.655,7.745,0
ARSMXN,09-Jun-2016,1.3036,1.3218,1.302,1.3204,0
ARSSGD,09-Jun-2016,0.0968,0.0979,0.0968,0.0979,0
