Symbol,Date,Open,High,Low,Close,Volume
AEDAUD,06-Jun-2016,0.3709,0.371,0.3694,0.3694,0
AEDCAD,06-Jun-2016,0.3529,0.3529,0.3491,0.3491,0
AEDCHF,06-Jun-2016,0.2658,0.2659,0.2642,0.2642,0
AEDDKK,06-Jun-2016,1.7879,1.7879,1.7808,1.7818,0
AEDEUR,06-Jun-2016,0.2403,0.2403,0.2394,0.2396,0
AEDGBP,06-Jun-2016,0.189,0.189,0.1883,0.1883,0
AEDINR,06-Jun-2016,18.236,18.236,18.173,18.173,0
AEDJPY,06-Jun-2016,29.07,29.283,29.07,29.279,0
AEDNOK,06-Jun-2016,2.2293,2.2303,2.2233,2.2248,0
AEDNZD,06-Jun-2016,0.3926,0.3935,0.3926,0.3935,0
AEDPKR,06-Jun-2016,28.424,28.45,28.424,28.45,0
AEDSAR,06-Jun-2016,1.0245,1.0245,1.0201,1.0205,0
AEDSEK,06-Jun-2016,2.2226,2.2226,2.211,2.2114,0
AEDUSD,06-Jun-2016,0.2722,0.2722,0.2722,0.2722,0
AEDZAR,06-Jun-2016,4.1152,4.1283,4.0506,4.0541,0
ALLGBP,06-Jun-2016,0.0056,0.0056,0.0056,0.0056,0
ARSAUD,06-Jun-2016,0.0977,0.0986,0.0976,0.0985,0
ARSBRL,06-Jun-2016,0.2536,0.255,0.2526,0.2531,0
ARSCAD,06-Jun-2016,0.093,0.0933,0.0929,0.093,0
ARSCHF,06-Jun-2016,0.0701,0.0706,0.0699,0.0704,0
ARSEUR,06-Jun-2016,0.0632,0.0639,0.0632,0.0639,0
ARSGBP,06-Jun-2016,0.0498,0.0503,0.0498,0.0502,0
ARSHKD,06-Jun-2016,0.5578,0.5639,0.5574,0.5637,0
ARSHUF,06-Jun-2016,19.744,19.885,19.713,19.863,0
ARSJPY,06-Jun-2016,7.657,7.813,7.656,7.804,0
ARSMXN,06-Jun-2016,1.3365,1.3556,1.3335,1.3554,0
ARSSGD,06-Jun-2016,0.0975,0.0986,0.0975,0.0984,0
ARSUSD,06-Jun-2016,0.0718,0.0726,0.0717,0.0726,0
ARSZAR,06-Jun-2016,1.0852,1.0896,1.0726,1.0813,0
AUDAED,06-Jun-2016,2.6,2.7,2.6,2.7,0
AUDARS,06-Jun-2016,10.2278,10.2381,10.1362,10.1503,0
AUDBRL,06-Jun-2016,2.5903,2.5909,2.5674,2.5677,0
AUDCAD,06-Jun-2016,0.9512,0.9536,0.9437,0.9447,0
AUDCHF,06-Jun-2016,0.7166,0.7185,0.714,0.7153,0
AUDCNH,06-Jun-2016,4.8056,4.8427,4.7988,4.8387,0
AUDCNY,06-Jun-2016,4.8231,4.8353,4.8082,4.8299,0
AUDCZK,06-Jun-2016,17.46,17.559,17.411,17.526,0
AUDDKK,06-Jun-2016,4.8101,4.8333,4.7952,4.8251,0
AUDEUR,06-Jun-2016,0.6465,0.6496,0.6447,0.6487,0
AUDFJD,06-Jun-2016,1.5381,1.5381,1.5263,1.5263,0
AUDGBP,06-Jun-2016,0.5095,0.5113,0.5085,0.5098,0
AUDHKD,06-Jun-2016,5.7,5.7317,5.6826,5.7257,0
AUDHUF,06-Jun-2016,201.77,202.12,201.19,201.7,0
AUDIDR,06-Jun-2016,9877.2,9877.2,9621.8,9855.3,0
AUDILS,06-Jun-2016,2.8189,2.8218,2.8098,2.8171,0
AUDINR,06-Jun-2016,49.306,49.306,49.001,49.197,0
AUDJPY,06-Jun-2016,78.352,79.28,78.035,79.204,0
AUDKRW,06-Jun-2016,855.2,857.92,852.84,854.35,0
AUDMXN,06-Jun-2016,13.6685,13.7644,13.6341,13.7644,0
AUDMYR,06-Jun-2016,2.9939,3.0172,2.9847,2.9921,0
AUDNOK,06-Jun-2016,5.9986,6.047,5.9766,6.0214,0
AUDNZD,06-Jun-2016,1.059,1.0673,1.0566,1.0662,0
AUDPHP,06-Jun-2016,33.923,33.928,33.89,33.898,0
AUDPKR,06-Jun-2016,77.011,77.014,77.009,77.014,0
AUDPLN,06-Jun-2016,2.835,2.8418,2.8201,2.8251,0
AUDSEK,06-Jun-2016,5.9824,6.0024,5.9598,5.986,0
AUDSGD,06-Jun-2016,0.9971,1.0022,0.9955,0.9995,0
AUDTHB,06-Jun-2016,25.998,25.998,25.87,25.958,0
AUDTRY,06-Jun-2016,2.1338,2.1451,2.1282,2.1418,0
AUDTWD,06-Jun-2016,22.857,23.095,22.857,23.095,0
AUDUSD,06-Jun-2016,0.7337,0.738,0.7315,0.7372,0
AUDZAR,06-Jun-2016,11.0941,11.1316,10.9618,10.9794,0
AWGUSD,06-Jun-2016,0.5571,0.5571,0.5571,0.5571,0
BDTGBP,06-Jun-2016,0.0088,0.0088,0.0087,0.0087,0
BDTJPY,06-Jun-2016,1.3555,1.3555,1.3357,1.3357,0
BGNCNY,06-Jun-2016,3.8109,3.8122,3.8009,3.8061,0
BGNDKK,06-Jun-2016,3.7894,3.7896,3.787,3.7873,0
BGNPLN,06-Jun-2016,2.2416,2.2465,2.2261,2.227,0
BGNUSD,06-Jun-2016,0.578,0.5785,0.578,0.5784,0
BHDEUR,06-Jun-2016,2.3095,2.3205,2.3095,2.3192,0
BHDPKR,06-Jun-2016,277.01,277.17,277.01,277.17,0
BHDUSD,06-Jun-2016,2.6211,2.6353,2.6211,2.634,0
BNDGBP,06-Jun-2016,0.5056,0.5056,0.5025,0.5025,0
BRLARS,06-Jun-2016,3.9414,3.9528,3.9166,3.949,0
BRLAUD,06-Jun-2016,0.3853,0.3887,0.3852,0.3887,0
