Symbol,Date,Open,High,Low,Close,Volume
AEDAUD,22-Jun-2016,0.3651,0.3651,0.3617,0.3619,0
AEDCAD,22-Jun-2016,0.3485,0.3487,0.3483,0.3487,0
AEDCHF,22-Jun-2016,0.2618,0.2618,0.2604,0.2611,0
AEDDKK,22-Jun-2016,1.7977,1.7982,1.7859,1.786,0
AEDEUR,22-Jun-2016,0.2417,0.2418,0.2401,0.2401,0
AEDGBP,22-Jun-2016,0.1856,0.1856,0.1834,0.1839,0
AEDINR,22-Jun-2016,18.406,18.406,18.353,18.353,0
AEDJPY,22-Jun-2016,28.496,28.543,28.474,28.506,0
AEDNOK,22-Jun-2016,2.2604,2.2614,2.2453,2.2454,0
AEDNZD,22-Jun-2016,0.3819,0.3819,0.3789,0.3794,0
AEDPKR,22-Jun-2016,28.492,28.492,28.478,28.478,0
AEDSAR,22-Jun-2016,1.0204,1.0206,1.0201,1.0204,0
AEDSEK,22-Jun-2016,2.25,2.2513,2.2382,2.2383,0
AEDUSD,22-Jun-2016,0.2722,0.2722,0.2722,0.2722,0
AEDZAR,22-Jun-2016,4.0158,4.0204,3.9605,3.9652,0
ALLGBP,22-Jun-2016,0.0055,0.0055,0.0055,0.0055,0
ARSAUD,22-Jun-2016,0.0961,0.0962,0.0945,0.0946,0
ARSBRL,22-Jun-2016,0.2447,0.2447,0.2396,0.2401,0
ARSCAD,22-Jun-2016,0.0917,0.0918,0.091,0.091,0
ARSCHF,22-Jun-2016,0.0689,0.0689,0.0681,0.0682,0
ARSEUR,22-Jun-2016,0.0636,0.0637,0.0627,0.0627,0
ARSGBP,22-Jun-2016,0.0489,0.0489,0.048,0.0481,0
ARSHKD,22-Jun-2016,0.5558,0.5558,0.5506,0.5513,0
ARSHUF,22-Jun-2016,20.038,20.046,19.693,19.699,0
ARSJPY,22-Jun-2016,7.504,7.504,7.42,7.443,0
ARSMXN,22-Jun-2016,1.335,1.3398,1.3076,1.3081,0
ARSSGD,22-Jun-2016,0.0962,0.0962,0.095,0.095,0
ARSUSD,22-Jun-2016,0.0716,0.0716,0.0711,0.0711,0
ARSZAR,22-Jun-2016,1.057,1.058,1.0351,1.0364,0
AUDAED,22-Jun-2016,2.74,2.76,2.74,2.76,0
AUDARS,22-Jun-2016,10.3993,10.5768,10.3895,10.5713,0
AUDBRL,22-Jun-2016,2.544,2.5578,2.526,2.5378,0
AUDCAD,22-Jun-2016,0.954,0.9643,0.9534,0.9627,0
AUDCHF,22-Jun-2016,0.7166,0.7218,0.7157,0.7209,0
AUDCNH,22-Jun-2016,4.9235,4.9235,4.9235,4.9235,0
AUDCNY,22-Jun-2016,4.9063,4.9412,4.9018,4.9373,0
AUDCZK,22-Jun-2016,17.925,18.007,17.905,17.942,0
AUDDKK,22-Jun-2016,4.9222,4.9478,4.9213,4.9318,0
AUDEUR,22-Jun-2016,0.6622,0.665,0.6619,0.663,0
AUDFJD,22-Jun-2016,1.5303,1.5397,1.5303,1.5395,0
AUDGBP,22-Jun-2016,0.5079,0.5118,0.5071,0.5079,0
AUDHKD,22-Jun-2016,5.7778,5.8379,5.7735,5.828,0
AUDHUF,22-Jun-2016,208.29,209.37,208.04,208.22,0
AUDIDR,22-Jun-2016,9799.6,9966.1,9793.7,9796,0
AUDILS,22-Jun-2016,2.8729,2.8975,2.8699,2.8946,0
AUDINR,22-Jun-2016,50.332,50.691,50.3,50.609,0
AUDJPY,22-Jun-2016,77.978,78.959,77.773,78.607,0
AUDKRW,22-Jun-2016,859.06,865.13,859.06,864.78,0
AUDMXN,22-Jun-2016,13.8854,14.0075,13.8253,13.8253,0
AUDMYR,22-Jun-2016,3.0033,3.0304,3.0022,3.0281,0
AUDNOK,22-Jun-2016,6.1917,6.226,6.1879,6.193,0
AUDNZD,22-Jun-2016,1.0448,1.0491,1.0442,1.0491,0
AUDPHP,22-Jun-2016,34.457,34.791,34.448,34.788,0
AUDPKR,22-Jun-2016,78.112,78.437,78.112,78.437,0
AUDPLN,22-Jun-2016,2.9066,2.9205,2.8906,2.8959,0
AUDSEK,22-Jun-2016,6.1586,6.2168,6.1585,6.176,0
AUDSGD,22-Jun-2016,1.0006,1.0064,0.9998,1.0048,0
AUDTHB,22-Jun-2016,26.236,26.457,26.218,26.424,0
AUDTRY,22-Jun-2016,2.17,2.1795,2.1669,2.1714,0
AUDTWD,22-Jun-2016,23.452,23.452,23.398,23.398,0
AUDUSD,22-Jun-2016,0.7446,0.7526,0.7441,0.7513,0
AUDZAR,22-Jun-2016,10.9917,11.0403,10.9283,10.9537,0
AWGUSD,22-Jun-2016,0.5569,0.5571,0.5569,0.5571,0
BDTGBP,22-Jun-2016,0.0085,0.0085,0.0085,0.0085,0
BDTJPY,22-Jun-2016,1.3008,1.3165,1.3008,1.3165,0
BGNCNY,22-Jun-2016,3.7858,3.8061,3.7833,3.8058,0
BGNDKK,22-Jun-2016,3.7872,3.7887,3.7872,3.7886,0
BGNPLN,22-Jun-2016,2.2453,2.25,2.2335,2.2343,0
BGNUSD,22-Jun-2016,0.5733,0.5779,0.5731,0.5773,0
BHDEUR,22-Jun-2016,2.3395,2.34,2.3239,2.324,0
BHDPKR,22-Jun-2016,277.52,277.52,277.36,277.36,0
BHDUSD,22-Jun-2016,2.6333,2.6346,2.6329,2.6338,0
BNDGBP,22-Jun-2016,0.4972,0.4979,0.497,0.497,0
BRLARS,22-Jun-2016,4.0841,4.1671,4.0837,4.1626,0
BRLAUD,22-Jun-2016,0.3923,0.395,0.3902,0.3932,0
BRLCAD,22-Jun-2016,0.3745,0.38,0.3737,0.3788,0
BRLCHF,22-Jun-2016,0.2814,0.2838,0.2802,0.2837,0
BRLEUR,22-Jun-2016,0.2598,0.2622,0.2591,0.2609,0
BRLHKD,22-Jun-2016,2.2693,2.2963,2.2688,2.294,0
BRLJPY,22-Jun-2016,30.624,30.985,30.553,30.967,0
BRLKRW,22-Jun-2016,337.325,341.7,336.891,340.584,0
BRLMXN,22-Jun-2016,5.4462,5.4859,5.4431,5.4431,0
BRLRUB,22-Jun-2016,18.674,19.186,18.65,19.067,0
BRLSEK,22-Jun-2016,2.4185,2.4494,2.4172,2.4323,0
BRLSGD,22-Jun-2016,0.3927,0.3966,0.3921,0.3954,0
BRLUSD,22-Jun-2016,0.2923,0.2956,0.2923,0.2956,0
BRLZAR,22-Jun-2016,4.3136,4.3337,4.299,4.3097,0
BWPCHF,22-Jun-2016,0.0876,0.088,0.0876,0.088,0
BWPEUR,22-Jun-2016,0.0809,0.081,0.0809,0.081,0
BWPGBP,22-Jun-2016,0.0621,0.0622,0.0619,0.0619,0
BWPUSD,22-Jun-2016,0.091,0.0919,0.091,0.0919,0
BWPZAR,22-Jun-2016,1.3604,1.3637,1.3522,1.356,0
CADAED,22-Jun-2016,2.8672,2.8822,2.8569,2.8651,0
CADARS,22-Jun-2016,10.8943,10.9788,10.8916,10.9766,0
CADAUD,22-Jun-2016,1.0475,1.0484,1.0362,1.0383,0
CADBRL,22-Jun-2016,2.6646,2.6711,2.6261,2.6346,0
CADCHF,22-Jun-2016,0.7511,0.7531,0.7452,0.7486,0
CADCNH,22-Jun-2016,5.152,5.152,5.152,5.152,0
CADCNY,22-Jun-2016,5.1401,5.1485,5.1154,5.1273,0
CADDKK,22-Jun-2016,5.1608,5.1702,5.1088,5.1224,0
CADEUR,22-Jun-2016,0.6942,0.6945,0.6878,0.6888,0
CADGBP,22-Jun-2016,0.5323,0.534,0.5262,0.5275,0
CADHKD,22-Jun-2016,6.0579,6.0866,6.0347,6.0517,0
CADIDR,22-Jun-2016,10266.2,10368.6,10172.2,10172.9,0
CADILS,22-Jun-2016,3.0098,3.0221,2.9976,3.0059,0
CADINR,22-Jun-2016,52.745,52.857,52.446,52.561,0
CADISK,22-Jun-2016,95.44,95.68,95.44,95.68,0
CADJPY,22-Jun-2016,81.744,82.074,81.237,81.622,0
CADKRW,22-Jun-2016,899.95,903.01,893.64,898.04,0
CADKWD,22-Jun-2016,0.2345,0.2357,0.2339,0.2346,0
CADMXN,22-Jun-2016,14.552,14.634,14.341,14.36,0
CADMYR,22-Jun-2016,3.1461,3.1546,3.1298,3.1444,0
CADNOK,22-Jun-2016,6.4863,6.5019,6.4215,6.4303,0
CADNZD,22-Jun-2016,1.0952,1.0953,1.0856,1.0892,0
CADPKR,22-Jun-2016,81.72,81.724,81.55,81.55,0
CADPLN,22-Jun-2016,3.0482,3.0582,2.9984,3.0089,0
CADRUB,22-Jun-2016,49.934,50.574,49.851,50.561,0
CADSEK,22-Jun-2016,6.4579,6.4953,6.3957,6.4184,0
CADSGD,22-Jun-2016,1.0485,1.051,1.0403,1.0434,0
CADTHB,22-Jun-2016,27.489,27.558,27.348,27.44,0
CADTRY,22-Jun-2016,2.2735,2.2781,2.2481,2.2536,0
CADTWD,22-Jun-2016,24.55,24.55,24.288,24.288,0
CADUAH,22-Jun-2016,19.634,19.634,19.634,19.634,0
CADUSD,22-Jun-2016,0.7806,0.7844,0.7783,0.7801,0
CADZAR,22-Jun-2016,11.5186,11.5407,11.3515,11.3737,0
CDFUSD,22-Jun-2016,0.001,0.001,0.001,0.001,0
CHFAED,22-Jun-2016,3.8174,3.8385,3.8173,3.8281,0
CHFARS,22-Jun-2016,14.4966,14.679,14.4954,14.6561,0
CHFAUD,22-Jun-2016,1.3947,1.3967,1.3846,1.3866,0
CHFBGN,22-Jun-2016,1.7914,1.7914,1.7914,1.7914,0
CHFBRL,22-Jun-2016,3.547,3.5579,3.5173,3.5181,0
CHFBWP,22-Jun-2016,11.125,11.125,11.074,11.074,0
CHFCAD,22-Jun-2016,1.331,1.3405,1.3285,1.3354,0
CHFCNH,22-Jun-2016,6.863,6.863,6.863,6.863,0
CHFCNY,22-Jun-2016,6.8397,6.8649,6.8382,6.8467,0
CHFCZK,22-Jun-2016,24.996,25.038,24.88,24.886,0
CHFDKK,22-Jun-2016,6.8683,6.8784,6.824,6.8401,0
CHFEUR,22-Jun-2016,0.9238,0.9256,0.9193,0.9198,0
CHFGBP,22-Jun-2016,0.7085,0.7117,0.7037,0.7043,0
CHFHKD,22-Jun-2016,8.0643,8.1203,8.0594,8.082,0
CHFHUF,22-Jun-2016,290.627,291.335,288.45,288.869,0
CHFIDR,22-Jun-2016,13660.2,13862.8,13584.1,13585.6,0
CHFILS,22-Jun-2016,4.0052,4.0273,4.0047,4.0141,0
CHFINR,22-Jun-2016,70.187,70.432,70.151,70.187,0
CHFISK,22-Jun-2016,126.99,127.78,126.95,127.15,0
CHFJPY,22-Jun-2016,108.695,109.646,108.512,108.985,0
CHFKRW,22-Jun-2016,1197.5,1202.21,1196.03,1199.19,0
CHFLVL,22-Jun-2016,0.5671,0.5671,0.5671,0.5671,0
CHFMXN,22-Jun-2016,19.362,19.499,19.172,19.178,0
CHFMYR,22-Jun-2016,4.1868,4.2055,4.1868,4.1986,0
CHFNOK,22-Jun-2016,8.6349,8.6635,8.5985,8.6004,0
CHFNZD,22-Jun-2016,1.4574,1.4589,1.4516,1.4544,0
CHFPKR,22-Jun-2016,109.502,109.737,108.666,108.722,0
CHFPLN,22-Jun-2016,4.0586,4.0678,4.0165,4.0175,0
CHFRON,22-Jun-2016,4.1927,4.1927,4.1669,4.1676,0
CHFRUB,22-Jun-2016,66.458,67.907,66.117,67.484,0
CHFSEK,22-Jun-2016,8.598,8.6402,8.5655,8.5724,0
CHFSGD,22-Jun-2016,1.3956,1.3999,1.3926,1.3934,0
CHFSZL,22-Jun-2016,15.141,15.141,15.093,15.093,0
CHFTHB,22-Jun-2016,36.576,36.71,36.576,36.646,0
CHFTRY,22-Jun-2016,3.0265,3.0361,3.011,3.0112,0
CHFTWD,22-Jun-2016,32.688,32.689,32.507,32.507,0
CHFUSD,22-Jun-2016,1.0392,1.0466,1.0383,1.0418,0
CHFUZS,22-Jun-2016,3077.9,3081.3,3052.7,3052.9,0
CHFZAR,22-Jun-2016,15.3313,15.377,15.1634,15.1785,0
CLPEUR,22-Jun-2016,0.0013,0.0013,0.0013,0.0013,0
CLPGBP,22-Jun-2016,0.001,0.001,0.001,0.001,0
CLPUSD,22-Jun-2016,0.0015,0.0015,0.0015,0.0015,0
CNHHKD,22-Jun-2016,1.176,1.1785,1.1757,1.1784,0
CNHIDR,22-Jun-2016,2005,2005,2005,2005,0
CNHINR,22-Jun-2016,10.256,10.256,10.256,10.256,0
CNHJPY,22-Jun-2016,15.8744,15.9199,15.8262,15.9029,0
CNHKRW,22-Jun-2016,174.9,174.9,174.9,174.9,0
CNHPHP,22-Jun-2016,7.024,7.024,7.024,7.024,0
CNHTHB,22-Jun-2016,5.339,5.339,5.339,5.339,0
CNHTWD,22-Jun-2016,4.875,4.875,4.875,4.875,0
CNYAUD,22-Jun-2016,0.2032,0.2033,0.2017,0.2018,0
CNYBGN,22-Jun-2016,0.2635,0.2636,0.262,0.2621,0
CNYCAD,22-Jun-2016,0.1941,0.1945,0.1939,0.1945,0
CNYCHF,22-Jun-2016,0.1458,0.1458,0.1452,0.1456,0
CNYDKK,22-Jun-2016,1.0016,1.0022,0.9965,0.9966,0
CNYEUR,22-Jun-2016,0.1347,0.1348,0.134,0.134,0
CNYGBP,22-Jun-2016,0.1033,0.1034,0.1023,0.1025,0
CNYHKD,22-Jun-2016,1.1769,1.1819,1.1736,1.1788,0
CNYJPY,22-Jun-2016,15.872,15.908,15.828,15.894,0
CNYKRW,22-Jun-2016,174.8,175.4,174.29,174.88,0
CNYMYR,22-Jun-2016,0.5718,0.5718,0.5718,0.5718,0
