Symbol,Date,Open,High,Low,Close,Volume
AEDAUD,16-Jun-2016,0.3676,0.3696,0.3676,0.3693,0
AEDCAD,16-Jun-2016,0.3516,0.3529,0.3516,0.3528,0
AEDCHF,16-Jun-2016,0.2617,0.2627,0.2615,0.2626,0
AEDDKK,16-Jun-2016,1.7963,1.8129,1.7943,1.8004,0
AEDEUR,16-Jun-2016,0.2416,0.2438,0.2413,0.2421,0
AEDGBP,16-Jun-2016,0.1917,0.1921,0.1915,0.1915,0
AEDINR,16-Jun-2016,18.258,18.322,18.258,18.321,0
AEDJPY,16-Jun-2016,28.858,28.858,28.381,28.392,0
AEDNOK,16-Jun-2016,2.2608,2.2939,2.2598,2.2816,0
AEDNZD,16-Jun-2016,0.3867,0.3867,0.3858,0.3858,0
AEDPKR,16-Jun-2016,28.424,28.438,28.424,28.438,0
AEDSAR,16-Jun-2016,1.0204,1.0208,1.02,1.0203,0
AEDSEK,16-Jun-2016,2.2604,2.288,2.2591,2.2687,0
AEDUSD,16-Jun-2016,0.2722,0.2722,0.2722,0.2722,0
AEDZAR,16-Jun-2016,4.1322,4.2295,4.1322,4.173,0
ALLGBP,16-Jun-2016,0.0057,0.0057,0.0057,0.0057,0
ARSAUD,16-Jun-2016,0.0981,0.0995,0.0975,0.0975,0
ARSBRL,16-Jun-2016,0.2527,0.2546,0.2489,0.249,0
ARSCAD,16-Jun-2016,0.094,0.095,0.0931,0.0931,0
ARSCHF,16-Jun-2016,0.0699,0.0704,0.0693,0.0694,0
ARSEUR,16-Jun-2016,0.0646,0.0652,0.064,0.064,0
ARSGBP,16-Jun-2016,0.0513,0.0517,0.0506,0.0506,0
ARSHKD,16-Jun-2016,0.5647,0.5647,0.5577,0.5578,0
ARSHUF,16-Jun-2016,20.295,20.591,20.089,20.089,0
ARSJPY,16-Jun-2016,7.704,7.704,7.497,7.51,0
ARSMXN,16-Jun-2016,1.3754,1.3837,1.3593,1.361,0
ARSSGD,16-Jun-2016,0.0983,0.0984,0.0967,0.097,0
