Symbol,Date,Open,High,Low,Close,Volume
AEDAUD,07-Jun-2016,0.3694,0.3694,0.3651,0.3653,0
AEDCAD,07-Jun-2016,0.3491,0.3491,0.3469,0.3471,0
AEDCHF,07-Jun-2016,0.2642,0.2642,0.2628,0.2628,0
AEDDKK,07-Jun-2016,1.7817,1.7822,1.7804,1.7817,0
AEDEUR,07-Jun-2016,0.2396,0.2397,0.2394,0.2396,0
AEDGBP,07-Jun-2016,0.1883,0.1883,0.1872,0.1872,0
AEDINR,07-Jun-2016,18.174,18.179,18.168,18.173,0
AEDJPY,07-Jun-2016,29.279,29.281,29.2,29.202,0
AEDNOK,07-Jun-2016,2.2246,2.2246,2.2082,2.2089,0
AEDNZD,07-Jun-2016,0.3936,0.3936,0.3901,0.3904,0
AEDPKR,07-Jun-2016,28.45,28.464,28.45,28.464,0
AEDSAR,07-Jun-2016,1.0204,1.0207,1.0202,1.0204,0
AEDSEK,07-Jun-2016,2.2112,2.2133,2.209,2.2119,0
AEDUSD,07-Jun-2016,0.2722,0.2723,0.2722,0.2722,0
AEDZAR,07-Jun-2016,4.0559,4.0693,4.0277,4.06,0
ALLGBP,07-Jun-2016,0.0056,0.0056,0.0055,0.0055,0
ARSAUD,07-Jun-2016,0.0985,0.0985,0.0969,0.0971,0
ARSBRL,07-Jun-2016,0.2531,0.2546,0.2486,0.2486,0
ARSCAD,07-Jun-2016,0.093,0.0931,0.0921,0.0922,0
ARSCHF,07-Jun-2016,0.0704,0.0705,0.0698,0.0698,0
ARSEUR,07-Jun-2016,0.0639,0.064,0.0636,0.0637,0
ARSGBP,07-Jun-2016,0.0502,0.0502,0.0497,0.0497,0
ARSHKD,07-Jun-2016,0.5637,0.5637,0.5613,0.5615,0
ARSHUF,07-Jun-2016,19.863,19.883,19.754,19.765,0
ARSJPY,07-Jun-2016,7.802,7.822,7.756,7.759,0
ARSMXN,07-Jun-2016,1.3552,1.3574,1.327,1.3305,0
ARSSGD,07-Jun-2016,0.0984,0.0985,0.0977,0.0978,0
ARSUSD,07-Jun-2016,0.0726,0.0726,0.0723,0.0723,0
ARSZAR,07-Jun-2016,1.0818,1.0844,1.074,1.0771,0
AUDAED,07-Jun-2016,2.7,2.74,2.7,2.74,0
