Symbol,Date,Open,High,Low,Close,Volume
AEDAUD,29-Jun-2016,0.3684,0.3684,0.3654,0.3656,0
AEDCAD,29-Jun-2016,0.3547,0.3547,0.3523,0.3523,0
AEDCHF,29-Jun-2016,0.2669,0.2669,0.2666,0.2666,0
AEDDKK,29-Jun-2016,1.8274,1.8291,1.8194,1.8195,0
AEDEUR,29-Jun-2016,0.2457,0.2459,0.2446,0.2446,0
AEDGBP,29-Jun-2016,0.2039,0.204,0.2024,0.2024,0
AEDINR,29-Jun-2016,18.439,18.444,18.351,18.352,0
AEDJPY,29-Jun-2016,27.936,28.02,27.903,28.008,0
AEDNOK,29-Jun-2016,2.3047,2.3065,2.282,2.282,0
AEDNZD,29-Jun-2016,0.3859,0.3859,0.3826,0.3828,0
AEDPKR,29-Jun-2016,28.464,28.473,28.464,28.464,0
AEDSAR,29-Jun-2016,1.0207,1.0211,1.0203,1.0206,0
AEDSEK,29-Jun-2016,2.3123,2.3167,2.3018,2.3018,0
AEDUSD,29-Jun-2016,0.2722,0.2722,0.2722,0.2722,0
AEDZAR,29-Jun-2016,4.1245,4.1378,4.0156,4.0218,0
ALLGBP,29-Jun-2016,0.0059,0.0059,0.0059,0.0059,0
ARSAUD,29-Jun-2016,0.0904,0.0905,0.0896,0.0896,0
ARSBRL,29-Jun-2016,0.2211,0.2212,0.2151,0.2166,0
ARSCAD,29-Jun-2016,0.0871,0.0875,0.0864,0.0865,0
ARSCHF,29-Jun-2016,0.0656,0.0659,0.0655,0.0655,0
ARSEUR,29-Jun-2016,0.0604,0.0606,0.0601,0.0601,0
ARSGBP,29-Jun-2016,0.0501,0.0503,0.0496,0.0497,0
ARSHKD,29-Jun-2016,0.5191,0.522,0.5185,0.5185,0
ARSHUF,29-Jun-2016,19.151,19.202,19.024,19.029,0
ARSJPY,29-Jun-2016,6.864,6.91,6.842,6.875,0
ARSMXN,29-Jun-2016,1.2584,1.2602,1.2345,1.2371,0
ARSSGD,29-Jun-2016,0.0905,0.0906,0.09,0.09,0
ARSUSD,29-Jun-2016,0.0669,0.0673,0.0668,0.0668,0
ARSZAR,29-Jun-2016,1.0139,1.0165,0.9876,0.9876,0
AUDAED,29-Jun-2016,2.71,2.73,2.71,2.73,0
AUDARS,29-Jun-2016,11.0537,11.1557,11.0447,11.1557,0
AUDBRL,29-Jun-2016,2.4411,2.4521,2.3967,2.4101,0
AUDCAD,29-Jun-2016,0.9635,0.969,0.9625,0.9664,0
AUDCHF,29-Jun-2016,0.7249,0.7317,0.7239,0.7316,0
AUDCNH,29-Jun-2016,4.955,4.968,4.937,4.968,0
AUDCNY,29-Jun-2016,4.9092,4.9445,4.9074,4.9445,0
AUDCZK,29-Jun-2016,18.121,18.207,18.111,18.193,0
AUDDKK,29-Jun-2016,4.9661,4.9953,4.9661,4.9944,0
AUDEUR,29-Jun-2016,0.6677,0.6713,0.6677,0.6713,0
AUDFJD,29-Jun-2016,1.5249,1.5309,1.5244,1.5295,0
AUDGBP,29-Jun-2016,0.5541,0.5569,0.55,0.5548,0
AUDHKD,29-Jun-2016,5.7379,5.7971,5.7293,5.7957,0
AUDHUF,29-Jun-2016,211.68,212.97,211.29,212.51,0
AUDIDR,29-Jun-2016,9608.3,9647.8,9602.8,9631.8,0
AUDILS,29-Jun-2016,2.8706,2.8773,2.8587,2.875,0
AUDINR,29-Jun-2016,50.051,50.312,49.99,50.278,0
AUDJPY,29-Jun-2016,75.765,76.818,75.428,76.771,0
